textid	text	condition	label
0	IS FOX ABOUT TO BECOME CNN? Leftist Wives Of Liberal Murdoch Sons Blamed For Firing Of Bill O’Reilly…TRASH Trump On Social Media	news	1
1	THE VIEW Brings On Bill O’Reilly’s Sexual Harassment Accuser…Is This REALLY Sexual Harassment? [Video]	news	1
2	VALERIE JARRETT Discusses Possibility Of Michelle Obama’s Run For Office With MSNBC Media Ally, Says Trump’s Win Was”Gut-Wrenching” [VIDEO]	news	1
3	3 CONSERVATIVE CELEBRITIES Visited Trump Last Night And Hilariously Trolled A White House Picture Of Hillary	news	1
4	COLLEGE PROFESSOR’S SEVERED TRUMP HEAD Painting Displayed In Art Gallery At Largest PUBLIC University In Alaska: “After Trump was elected, I spent days just weeping”	news	1
5	PROUD MOMENT FOR AMERICA: President Trump Signs Bill Giving VETERANS Access To Private Health Care…Another Promise Kept [VIDEO]	news	1
6	CNN TRIES TO Push FAKE Story About Size Of New England Patriots’ Crowd At White House…PATRIOTS Call Them Out For Lying!	news	1
7	WOW! Dem Rep Keith Ellison BLAMES Obama For Huge Democrat Losses: He’s “Put His Legacy In Jeopardy” [VIDEO]	news	1
8	GAME ON! UC Berkeley BANS Ann Coulter From Immigration Speech…She’s Going Anyway	news	1
9	PRESIDENT TRUMP Receives Patriots Jersey From Close Friend In White House Ceremony [VIDEO]	news	1
10	BILL O’REILLY IS OUT At Fox News Over Alleged Sexual Remarks, Advances…Evidence Of “Smear Campaign” By “Far-Left” Has Been Uncovered	news	1
11	ANTI-TRUMP TEACHER Wears “Tuck Frump” Jacket During Classes…Student’s Snap Goes Viral	news	1
12	SUPER BOWL CHAMP PLAYER Busts Into WH Press Briefing: “Need any help?”…Liberal Snowflakes Have A Meltdown! [Video]	news	1
13	MILLIONS IN OUTSIDE MONEY, Hollywood Influence Couldn’t Put Georgia’s 6th District Democrat Candidate In “Win” Column [VIDEO]	news	1
14	USA TODAY Caught Fabricating Story About Innocent “Dreamer” Being Deported…Here’s The Truth [VIDEO]	news	1
15	“Crazy Fat Kid” Kim Jong Un Has HILARIOUS Rule That Prevents N. Korean Men From Copying His Look	news	1
16	THE SIMPSONS Destroy The Idiocy Of The Politically Correct Left On College Campuses…And It’s Hilarious! [VIDEO]	news	1
17	BREAKING NEWS: Facebook Killer Dead…Here Are The Details [VIDEO]	news	1
18	VOTING MACHINES STOLEN In Controversial GA Election Where Dems Hope To Embarrass Trump With 30-Yr Old Jon Ossoff Win	news	1
19	ANTI-TRUMP Communications Specialist For UN Arrested In NYC For Robbing Banks During Lunch	news	1
20	VIEWERS ARE SHOCKED To See American Flag Fall When Democrat Party Leader Mentions Hillary Clinton’s Name During Live MSNBC Interview [VIDEO]	news	1
21	MY FAVORITE EXCUSES…Featuring Hillary Rotten Clinton [VIDEO]	news	1
22	LEFT GOES NUTS After Antifa Woman Attacking Trump Supporter Got Punched…That Was Before This Photo Revealed What She Had In Her Hand [VIDEO]	news	1
23	MELANIA Thanks Troops For Sacrifices At Easter Egg Roll…FLASHBACK To 2016: “Peanut Crew” Had To Remind Michelle Obama To Mention Troops, After Using Easter Speech To Brag About All Of Their Accomplishments [VIDEO]	news	1
24	DINGBAT MAXINE WATERS Tells Islamic Society Republicans Trying To Prevent Sharia Law From Being Enforced In America Is “Contrary To American Values…Threatens National Security” [VIDEO]	news	1
25	BOOM! TRUMP POLL Numbers Going Up…Up…Up! While Media, Democrats, George Soros Efforts To Destroy Him Fall Flat [VIDEO]	news	1
26	STUDENT NEWSPAPER At Hillary’s Alma Mater: It’s Okay To Use Violence To Shut Down Free Speech [VIDEO]	news	1
27	LOL! Democrats To Sue Over “Unprecedented Environmental Catastrophe” Trump Wall Poses To Birds…Ignores Actual Bird Blenders Pushed By Democrats [VIDEO]	news	1
28	DISGUSTING: ANARCHIST PUNK Calls U.S. Veteran “Anti-American”…VETERAN Yells Back “I’m a Patriot!” [Video]	news	1
